exchange,timestamp,prompt_tokens,cost_rubles,cost_total_rubles
1,2026-09-17 23:36:03,238,0.002618,0.002618
1,2026-09-17 23:58:18,256,0.002816,0.002816
2,2026-09-17 23:58:18,395,0.004345,0.008690
3,2026-09-17 23:58:18,562,0.006182,0.018546
4,2026-09-17 23:58:18,759,0.008349,0.033396
5,2026-09-17 23:58:18,980,0.010780,0.053900
1,2026-09-18 00:06:59,256,0.002816,0.002816
2,2026-09-18 00:06:59,395,0.004345,0.008690
3,2026-09-18 00:06:59,562,0.006182,0.018546
4,2026-09-18 00:06:59,759,0.008349,0.033396
5,2026-09-18 00:06:59,980,0.010780,0.053900
1,2026-09-18 00:22:27,238,0.002618,0.002618
1,2026-09-18 02:30:16,226,0.002486,0.002486
